Country;month;year;status;prod_hy;prod_hy_rep;-> storage;storage_rep;-> Run of River;River_rep;-> Pumped storage;Pumped storage_rep;prod_tn;prod_tn_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;prod_other_renew;other_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;prod_not_clearly;not_clearly_rep;losses_trans;losses_trans_repr;_Sum;pump;exg_saldo;cons_total
AT;1;2013;P;3286;100;;;2092;100;1194;;0;100;2229;100;;100;546;100;1408;100;63;100;;100;442;100;n.a.;100;n.a.;100;n.a;100;560;100;60;100;6517;604;628;6541
AT;2;2013;P;3052;100;;;1777;100;1276;;0;100;1721;100;0;100;480;100;1014;100;53;100;0;100;395;100;n.a.;100;n.a.;100;n.a;100;487;100;47;100;5655;325;644;5974
AT;3;2013;P;3050;100;;;1927;100;1123;;0;100;1572;100;0;100;485;100;809;100;73;100;0;100;474;100;n.a.;100;n.a.;100;n.a;100;573;100;51;100;5669;504;1104;6269
AT;4;2013;P;3576;100;;;2442;100;1135;;0;100;1126;100;0;100;376;100;464;100;62;100;;100;377;100;n.a.;100;n.a.;100;n.a;100;667;100;41;100;5746;495;336;5587
AT;5;2013;P;4706;100;;;3075;100;1631;;0;100;569;100;0;100;60;100;221;100;44;100;;100;426;100;n.a.;100;n.a.;100;n.a;100;872;100;50;100;6573;415;-763;5395
AT;6;2013;P;4051;100;;;2666;100;1385;;0;100;398;100;0;100;35;100;124;100;57;100;;100;427;100;n.a.;100;n.a.;100;n.a;100;850;100;41;100;5726;441;52;5337
AT;7;2013;P;3908;100;;;2464;100;1443;;0;100;595;100;0;100;165;100;113;100;56;100;;100;341;100;n.a.;100;n.a.;100;n.a;100;699;100;50;100;5543;275;246;5514
AT;8;2013;P;3070;100;;;1909;100;1160;;0;100;725;100;0;100;306;100;135;100;51;100;;100;334;100;n.a.;100;n.a.;100;n.a;100;589;100;50;100;4718;411;1033;5340
AT;9;2013;P;3228;100;;;2067;100;1161;;0;100;920;100;0;100;439;100;223;100;54;100;;100;389;100;n.a.;100;n.a.;100;n.a;100;647;100;46;100;5184;433;686;5437
AT;10;2013;P;3032;100;;;2011;100;1021;;0;100;1181;100;0;100;487;100;402;100;63;100;;100;379;100;n.a.;100;n.a.;100;n.a;100;655;100;57;100;5247;482;1135;5900
AT;11;2013;P;3316;100;;;2190;100;1126;;0;100;1379;100;0;100;409;100;702;100;51;100;;100;464;100;n.a.;100;n.a.;100;n.a;100;725;100;49;100;5884;428;595;6051
AT;12;2013;P;2682;100;;;1625;100;1057;;0;100;1499;100;0;100;410;100;805;100;55;100;;100;458;100;n.a.;100;n.a.;100;n.a;100;603;100;53;100;5242;561;1583;6264
AT;1;2012;D;3074;100;;;0;100;0;;0;100;2345;100;;100;410;100;1455;100;62;100;;100;0;100;0;100;0;100;0;100;767;100;87;100;6186;408;570;6348
AT;2;2012;D;2616;100;;;0;100;0;;0;100;2781;100;;100;544;100;1724;100;130;100;;100;0;100;0;100;0;100;0;100;735;100;50;100;6132;328;549;6353
AT;3;2012;D;3371;100;;;0;100;0;;0;100;1912;100;;100;367;100;1015;100;62;100;;100;0;100;0;100;0;100;0;100;756;100;49;100;6039;498;521;6062
AT;4;2012;D;3313;100;;;0;100;0;;0;100;1330;100;;100;255;100;582;100;55;100;;100;0;100;0;100;0;100;0;100;788;100;47;100;5431;490;503;5444
AT;5;2012;D;4150;100;;;0;100;0;;0;100;822;100;;100;81;100;217;100;60;100;;100;0;100;0;100;0;100;0;100;924;100;52;100;5896;471;-19;5406
AT;6;2012;D;4496;100;;;0;100;0;;0;100;885;100;;100;41;100;336;100;50;100;;100;0;100;0;100;0;100;0;100;860;100;50;100;6241;397;-521;5323
AT;7;2012;D;4431;100;;;0;100;0;;0;100;862;100;;100;173;100;186;100;51;100;;100;0;100;0;100;0;100;0;100;837;100;51;100;6130;429;-226;5475
AT;8;2012;D;3780;100;;;0;100;0;;0;100;1121;100;;100;402;100;225;100;63;100;;100;0;100;0;100;0;100;0;100;702;100;61;100;5603;419;213;5397
AT;9;2012;D;3654;100;;;0;100;0;;0;100;1314;100;;100;538;100;323;100;58;100;;100;0;100;0;100;0;100;0;100;807;100;45;100;5775;499;101;5377
AT;10;2012;D;3557;100;;;0;100;0;;0;100;1856;100;;100;543;100;856;100;26;100;;100;0;100;0;100;0;100;0;100;769;100;44;100;6182;434;87;5835
AT;11;2012;D;3326;100;;;0;100;0;;0;100;2175;100;;100;516;100;1169;100;51;100;;100;0;100;0;100;0;100;0;100;787;100;42;100;6288;523;161;5926
AT;12;2012;D;3058;100;;;0;100;0;;0;100;2338;100;;100;530;100;1319;100;64;100;;100;0;100;0;100;0;100;0;100;719;100;50;100;6115;666;865;6314
AT;1;2011;D;2778;100;0;100;0;100;;100;0;100;2888;100;;100;609;100;1678;100;207;100;;100;0;100;0;;0;100;;;623;100;49;100;6289;389;517;6417
AT;2;2011;D;2341;100;0;100;0;100;;100;0;100;2490;100;;100;485;100;1488;100;160;100;;100;0;100;0;;0;100;;;546;100;37;100;5377;365;837;5849
AT;3;2011;D;2259;100;0;100;0;100;;100;0;100;2696;100;;100;648;100;1538;100;97;100;;100;0;100;0;;0;100;;;640;100;40;100;5595;399;967;6163
AT;4;2011;D;2400;100;0;100;0;100;;100;0;100;1822;100;;100;369;100;1005;100;58;100;;100;0;100;0;;0;100;;;680;100;32;100;4902;423;869;5348
AT;5;2011;D;2958;100;0;100;0;100;;100;0;100;1636;100;;100;293;100;898;100;23;100;;100;0;100;0;;0;100;;;760;100;34;100;5354;366;435;5423
AT;6;2011;D;3643;100;0;100;0;100;;100;0;100;1162;100;;100;285;100;409;100;47;100;;100;0;100;0;;0;100;;;843;100;34;100;5648;419;-36;5193
AT;7;2011;D;3395;100;0;100;0;100;;100;0;100;1213;100;;100;291;100;411;100;67;100;;100;0;100;0;;0;100;;;854;100;47;100;5462;476;410;5396
AT;8;2011;D;3555;100;0;100;0;100;;100;0;100;973;100;;100;236;100;213;100;95;100;;100;0;100;0;;0;100;;;766;100;46;100;5294;376;465;5383
AT;9;2011;D;2875;100;0;100;0;100;;100;0;100;1546;100;;100;557;100;578;100;59;100;;100;0;100;0;;0;100;;;707;100;42;100;5128;368;687;5447
AT;10;2011;D;3001;100;0;100;0;100;;100;0;100;1897;100;;100;537;100;945;100;67;100;;100;0;100;0;;0;100;;;834;100;45;100;5732;447;469;5754
AT;11;2011;D;2280;100;0;100;0;100;;100;0;100;2440;100;;100;639;100;1340;100;70;100;;100;0;100;0;;0;100;;;741;100;47;100;5461;453;982;5990
AT;12;2011;D;2178;100;0;100;0;100;;100;0;100;2244;100;;100;464;100;1309;100;75;100;;100;0;100;0;;0;100;;;736;100;61;100;5158;580;1626;6204
AT;1;2010;D;2327;100;0;;0;;;;0;100;3023;100;;;564;;1901;;178;;;;0;100;0;;0;;;;663;100;45;100;6013;342;677;6348
AT;2;2010;D;2001;100;0;;0;;;;0;100;2782;100;;;564;;1705;;189;;;;0;100;0;;0;;;;621;100;42;100;5404;355;703;5752
AT;3;2010;D;2626;100;0;;0;;;;0;100;2286;100;;;413;;1403;;98;;;;0;100;0;;0;;;;782;100;38;100;5694;412;748;6030
AT;4;2010;D;2264;100;0;100;0;100;;100;0;100;1581;100;;100;20;100;1134;100;68;100;;100;0;100;0;;0;100;;;782;100;32;100;4627;401;1116;5342
AT;5;2010;D;3599;100;0;100;0;100;;100;0;100;1280;100;;100;81;100;761;100;41;100;;100;0;100;0;;0;100;;;1037;100;33;100;5916;429;-186;5301
AT;6;2010;D;4069;100;0;100;0;100;;100;0;100;1375;100;;100;288;100;647;100;41;100;;100;0;100;0;;0;100;;;1014;100;36;100;6458;435;-759;5264
AT;7;2010;D;3657;100;0;100;0;100;;100;0;100;1522;100;;100;464;100;632;100;54;100;;100;0;100;0;;0;100;;;920;100;46;100;6099;473;-233;5393
AT;8;2010;D;4094;100;0;100;0;100;;100;0;100;1245;100;;100;311;100;498;100;64;100;;100;0;100;0;;0;100;;;783;100;40;100;6122;384;-495;5243
AT;9;2010;D;3560;100;0;100;0;100;;100;0;100;1673;100;;100;486;100;764;100;62;100;;100;0;100;0;;0;100;;;801;100;37;100;6034;291;-344;5399
AT;10;2010;D;2746;100;0;100;0;100;;100;0;100;2454;100;;100;597;100;1411;100;73;100;;100;0;100;0;;0;100;;;701;100;42;100;5901;285;182;5798
AT;11;2010;D;2678;100;0;100;0;100;;100;0;100;2466;100;;100;581;100;1433;100;87;100;;100;0;100;0;;0;100;;;700;100;35;100;5844;384;443;5903
AT;12;2010;D;2875;100;0;100;0;100;;100;0;100;2951;100;;100;555;100;1726;100;279;100;;100;0;100;0;;0;100;;;747;100;49;100;6573;373;351;6551
BA;1;2013;P;715;100;;;0;100;715;;0;100;756;100;756;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;33;100;1471;0;-360;1111
BA;2;2013;P;793;100;;;0;100;793;;0;100;756;100;756;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;30;100;1549;0;-540;1009
BA;3;2013;P;1119;100;;;0;100;1119;;0;100;659;100;659;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;33;100;1778;0;-718;1060
BA;4;2013;P;1012;100;;;0;100;1012;;0;100;463;100;463;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;37;100;1475;0;-529;946
BA;5;2013;P;702;100;;;0;100;702;;0;100;528;100;528;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;23;100;1230;0;-310;920
BA;6;2013;P;462;100;;;0;100;462;;0;100;705;100;705;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;24;100;1167;0;-263;904
BA;7;2013;P;344;100;;;0;100;344;;0;100;821;100;821;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;26;100;1165;0;-198;967
BA;8;2013;P;288;100;;;0;100;288;;0;100;887;100;887;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;27;100;1175;0;-197;978
BA;9;2013;P;286;100;;;0;100;286;;0;100;666;100;666;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;24;100;952;0;-31;921
BA;10;2013;P;290;100;;;0;100;290;;0;100;853;100;853;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;27;100;1143;0;-141;1002
BA;11;2013;P;511;100;;;0;100;511;;0;100;818;100;818;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;28;100;1329;0;-299;1030
BA;12;2013;P;450;100;;;0;100;450;;0;100;828;100;828;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;31;100;1278;0;-110;1168
BA;1;2012;D;275;100;;;0;100;;;0;100;863;100;863;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;0;;0;100;33;100;1138;34;57;1161
BA;2;2012;D;286;100;;;0;100;;;0;100;732;100;732;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;0;;0;100;33;100;1018;32;149;1135
BA;3;2012;D;316;100;;;0;100;316;;0;100;771;100;771;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;23;100;1087;0;-67;1020
BA;4;2012;D;587;100;;;0;100;587;;0;100;582;100;582;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;24;100;1169;0;-212;957
BA;5;2012;D;461;100;;;0;100;461;;0;100;660;100;660;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;22;100;1121;0;-187;934
BA;6;2012;D;302;100;;;0;100;302;;0;100;641;100;641;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;20;100;943;0;-30;913
BA;7;2012;D;202;100;;;0;100;202;;0;100;652;100;652;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;25;100;854;0;122;976
BA;8;2012;D;185;100;;;0;100;185;;0;100;672;100;672;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;27;100;857;0;126;983
BA;9;2012;D;147;100;;;0;100;147;;0;100;719;100;719;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;24;100;866;0;55;921
BA;10;2012;D;200;100;;;0;100;200;;0;100;741;100;741;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;25;100;941;0;49;990
BA;11;2012;D;304;100;;;0;100;304;;0;100;653;100;653;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;24;100;957;0;36;993
BA;12;2012;D;541;100;;;0;100;541;;0;100;742;100;742;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;28;100;1283;0;-144;1139
BA;1;2011;D;822;100;822;100;0;100;;100;0;100;784;100;784;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;34;100;1606;0;-451;1155
BA;2;2011;D;462;100;462;100;0;100;;100;0;100;760;100;760;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;26;100;1222;0;-184;1038
BA;3;2011;D;513;100;513;100;0;100;;100;0;100;881;100;881;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;29;100;1394;0;-319;1075
BA;4;2011;D;461;100;461;100;0;100;;100;0;100;537;100;537;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;25;100;998;0;-60;938
BA;5;2011;D;304;100;304;100;0;100;;100;0;100;758;100;758;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;26;100;1062;0;-123;939
BA;6;2011;D;241;100;0;100;0;100;;100;0;100;782;100;782;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;21;100;1023;0;-115;908
BA;7;2011;D;239;100;239;100;0;100;;100;0;100;850;100;850;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;26;100;1089;0;-122;967
BA;8;2011;D;200;100;200;100;0;100;;100;0;100;842;100;842;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;28;100;1042;0;-58;984
BA;9;2011;D;269;100;269;100;0;100;;100;0;100;638;100;638;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;20;100;907;0;18;925
BA;10;2011;D;276;100;276;100;0;100;;100;0;100;878;100;878;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;26;100;1154;0;-140;1014
BA;11;2011;D;225;100;225;100;0;100;;100;0;100;860;100;860;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;31;100;1085;0;1;1086
BA;12;2011;D;278;100;257;100;0;100;;100;0;100;834;100;834;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;33;100;1112;21;66;1157
BA;1;2010;D;951;100;951;100;0;100;;100;0;100;706;100;706;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;50;100;1657;0;-584;1073
BA;2;2010;D;800;100;800;100;0;100;;100;0;100;704;100;704;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;32;100;1504;0;-527;977
BA;3;2010;D;957;100;957;100;0;100;;100;0;100;652;100;652;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;33;100;1609;0;-594;1015
BA;4;2010;D;782;100;782;100;0;100;;100;0;100;469;100;469;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;27;100;1251;0;-340;911
BA;5;2010;D;737;100;737;100;0;100;;100;0;100;672;100;672;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;27;100;1409;0;-511;898
BA;6;2010;D;458;100;458;100;0;100;;100;0;100;616;100;616;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;22;100;1074;1;-198;875
BA;7;2010;D;381;100;381;100;0;100;;100;0;100;522;100;522;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;20;100;903;1;27;929
BA;8;2010;D;292;100;292;100;0;100;;100;0;100;555;100;555;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;23;100;847;0;97;944
BA;9;2010;D;330;100;330;100;0;100;;100;0;100;604;100;604;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;24;100;934;0;-21;913
BA;10;2010;D;445;100;445;100;0;100;;100;0;100;722;100;722;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;27;100;1167;0;-136;1031
BA;11;2010;D;699;100;699;100;0;100;;100;0;100;666;100;666;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;30;100;1365;0;-364;1001
BA;12;2010;D;1038;100;1038;100;0;100;;100;0;100;796;100;796;100;0;100;0;100;0;100;0;100;0;100;0;;0;100;;;0;100;39;100;1834;0;-676;1158
BE;1;2013;P;163;100;;;48;100;115;;2913;100;2901;100;;100;259;100;2390;100;;100;131;100;632;100;311;100;33;100;288;100;0;100;0;100;6609;156;1584;8037
BE;2;2013;P;134;100;;;43;100;91;;2665;100;2865;100;;100;221;100;2398;100;;100;180;100;653;100;287;100;83;100;283;100;0;100;0;100;6317;118;1018;7217
BE;3;2013;P;144;100;;;42;100;102;;2896;100;2814;100;;100;259;100;2222;100;;100;176;100;748;100;282;100;167;100;299;100;0;100;0;100;6602;136;1331;7797
BE;4;2013;P;131;100;;;32;100;99;;2135;100;2280;100;;100;255;100;1717;100;;100;90;100;881;100;299;100;294;100;288;100;0;100;0;100;5427;131;1693;6989
BE;5;2013;P;141;100;;;36;100;105;;2190;100;2179;100;;100;244;100;1630;100;0;100;69;100;831;100;252;100;292;100;287;100;0;100;0;100;5341;139;1622;6824
BE;6;2013;P;157;100;;;37;100;120;;3523;100;1722;100;;100;55;100;1330;100;0;100;58;100;791;100;265;100;329;100;197;100;0;100;0;100;6193;159;522;6556
