Country;month;year;status;net_gen_nuclear;net_gen_nuclear_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;-> of_which_other_fossil_fuels;other_fossil_fuels_rep;net_gen_renewable;net_gen_renewable_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;-> of_which_other_renewable;other_renewable_rep;net_gen_hydro;net_gen_hydro_rep;-> of_which_renew;renew_rep;-> of_which_other_hydro;other_hydro_rep;net_gen_not_clearly;net_gen_not_clearly_rep;losses_trans;losses_trans_repr;Sum;pump;exg_saldo;consumption
ME;1;2014;P;0;100;137;100;137;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;186;100;0;100;186;100;0;100;12;100;323;0;-10;313
HR;1;2014;P;0;100;321;100;0;100;196;100;40;100;0;100;85;100;0;100;59;100;59;100;0;100;0;100;0;100;738;100;738;100;0;100;0;100;41;100;1118;9;380;1489
PT;1;2014;P;0;100;1196;100;0;100;691;100;473;100;11;100;0;100;21;100;1879;100;1633;100;22;100;224;100;0;100;2410;100;2304;100;106;100;0;100;90;100;5485;136;-773;4576
ES;1;2014;P;4535;100;7354;100;168;100;2151;100;3884;100;1151;100;0;100;0;100;7452;100;6570;100;457;100;422;100;3;100;4704;100;4103;100;601;100;26;100;355;100;24071;858;28;23241
FR;1;2014;P;42697;100;3155;100;0;100;961;100;1934;100;260;100;0;100;0;100;3050;100;2194;100;176;100;680;100;0;100;7046;100;6504;100;542;100;0;100;906;100;55948;775;-5823;49350
UA_W;1;2014;P;0;100;838;100;0;100;0;100;0;100;0;100;838;100;0;100;0;100;0;100;0;100;0;100;0;100;11;100;11;100;0;100;0;100;19;100;849;0;-394;455
NI;1;2014;P;0;100;1084;100;0;100;193;100;349;100;0;100;542;100;0;100;164;100;160;100;0;100;4;100;0;100;1;100;1;100;0;100;0;100;13;100;1249;0;125;1374
IE;1;2014;P;0;100;1473;100;232;100;247;100;982;100;6;100;0;100;6;100;600;100;579;100;0;100;0;100;21;100;135;100;110;100;25;100;0;100;0;100;2208;45;273;2436
DK;1;2014;P;0;100;1837;100;0;100;1278;100;545;100;14;100;0;100;0;100;2243;100;2022;100;5;100;216;100;0;100;2;100;2;100;0;100;0;100;0;100;4082;0;-810;3272
BA;1;2014;P;0;100;854;100;854;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;570;100;570;100;0;100;0;100;30;100;1424;0;-349;1075
GR;1;2014;P;0;100;3136;100;2280;100;0;100;856;100;0;100;0;100;0;100;510;100;279;100;213;100;18;100;0;100;337;100;67;100;270;100;0;100;102;100;3983;27;459;4415
RO;1;2014;D;970;100;2693;100;1330;100;256;100;420;100;0;100;687;100;0;100;575;100;516;100;23;100;36;100;0;100;1195;100;1195;100;0;100;0;100;92;100;5433;8;-540;4885
SE;1;2014;P;6375;100;568;100;0;100;64;100;306;100;22;100;176;100;0;100;2301;100;1214;100;0;100;1087;100;0;100;6915;100;6915;100;0;100;0;100;349;100;16159;0;-1342;14817
HU;1;2014;P;1294;100;891;100;537;100;60;100;290;100;4;100;0;100;0;100;169;100;60;100;0;100;109;100;0;100;24;100;24;100;0;100;0;100;36;100;2378;0;1121;3499
RS;1;2014;P;0;100;3178;100;3137;100;0;100;41;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;771;100;713;100;58;100;0;100;88;100;3949;80;26;3895
PT;2;2014;P;0;100;758;100;0;100;252;100;478;100;11;100;0;100;17;100;1665;100;1456;100;24;100;185;100;0;100;2487;100;2439;100;48;100;0;100;89;100;4910;61;-664;4185
FI;1;2014;P;2058;100;2326;100;0;100;1057;100;818;100;23;100;428;100;0;100;1374;100;91;100;0;100;1283;100;0;100;1412;100;1412;100;0;100;78;100;0;100;7248;0;1660;8908
DK;2;2014;P;0;100;1462;100;0;100;1035;100;419;100;8;100;0;100;0;100;1628;100;1410;100;24;100;194;100;0;100;2;100;2;100;0;100;0;100;0;100;3092;0;-248;2844
PL;1;2014;P;0;100;11936;100;4341;100;6512;100;239;100;0;100;0;100;844;100;1406;100;896;100;0;100;476;100;34;100;246;100;164;100;82;100;0;100;130;100;13588;117;-53;13418
EE;1;2014;P;0;100;830;100;0;100;0;100;0;100;0;100;0;100;830;100;104;100;45;100;0;100;59;100;0;100;4;100;4;100;0;100;0;100;46;100;938;0;-81;857
ES;2;2014;P;4724;100;4913;100;0;100;921;100;3013;100;979;100;0;100;0;100;6788;100;5918;100;538;100;330;100;2;100;6129;100;5686;100;443;100;19;100;371;100;22573;633;-491;21449
CH;1;2014;D;2469;100;172;100;0;100;0;100;0;100;0;100;0;100;172;100;154;100;11;100;0;100;0;100;143;100;2509;100;0;100;2509;100;0;100;108;100;5304;154;966;6116
SI;1;2014;P;517;100;393;100;281;100;101;100;1;100;0;100;0;100;10;100;30;100;0;100;5;100;14;100;11;100;519;100;492;100;27;100;17;100;12;100;1476;35;-256;1185
LT;1;2014;P;0;100;188;100;0;100;0;100;49;100;0;100;121;100;18;100;129;100;94;100;2;100;33;100;0;100;103;100;44;100;59;100;0;100;21;100;420;78;676;1018
MK;1;2014;P;0;100;410;100;348;100;0;100;62;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;64;100;0;100;64;100;0;100;18;100;474;0;375;849
UA_W;2;2014;P;0;100;783;100;0;100;0;100;0;100;0;100;783;100;0;100;1;100;0;100;1;100;0;100;0;100;13;100;13;100;0;100;0;100;17;100;797;0;-396;401
CY;1;2014;P;0;100;316;100;0;100;0;100;0;100;316;100;0;100;0;100;26;100;26;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;342;0;0;342
CZ;1;2014;P;2881;100;4088;100;3123;100;524;100;435;100;6;100;0;100;0;100;409;100;40;100;46;100;130;100;193;100;278;100;166;100;112;100;0;100;82;100;7656;144;-1555;5957
BG;1;2014;D;1426;100;2372;100;1880;100;265;100;227;100;0;100;0;100;0;100;164;100;107;100;49;100;8;100;0;100;227;100;147;100;80;100;0;100;0;100;4189;114;-778;3297
BE;1;2014;P;4234;100;1752;100;0;100;166;100;1582;100;4;100;0;100;0;100;1068;100;580;100;67;100;421;100;0;100;176;100;46;100;130;100;0;100;0;100;7230;174;741;7797
GB;1;2014;P;5693;100;20398;90;0;100;12189;100;6167;100;2;100;0;100;0;100;4253;100;2552;100;0;100;0;100;0;100;933;87;516;100;296;100;0;100;542;100;31277;383;1651;32545
BA;2;2014;P;0;100;786;100;786;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;629;100;629;100;0;100;0;100;25;100;1415;0;-457;958
BA;3;2014;P;0;100;842;100;842;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;478;100;478;100;0;100;0;100;25;100;1320;0;-313;1007
SK;2;2014;P;1203;100;439;100;147;100;116;100;154;100;22;100;0;100;0;100;119;100;1;100;21;100;74;100;23;100;308;100;288;100;20;100;7;100;22;100;2076;28;143;2191
SK;1;2014;P;1343;100;506;100;186;100;114;100;182;100;24;100;0;100;0;100;115;100;1;100;10;100;78;100;26;100;314;100;283;100;31;100;5;100;28;100;2283;43;160;2400
IT;1;2014;P;0;100;15574;100;0;100;3080;100;9152;100;2355;100;987;100;0;100;3121;100;1717;100;779;100;162;100;463;100;4158;100;3929;100;229;100;0;100;363;100;22853;223;4256;26886
ME;2;2014;P;0;100;126;100;126;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;210;100;0;100;210;100;0;100;10;100;336;0;-61;275
ME;3;2014;P;0;100;124;100;124;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;111;100;0;100;111;100;0;100;10;100;235;0;47;282
PT;3;2014;P;0;100;1075;100;0;100;585;100;459;100;12;100;0;100;19;100;1430;100;1158;100;44;100;228;100;0;100;2209;100;2155;100;54;100;0;100;79;100;4714;67;-497;4150
RS;2;2014;P;0;100;2937;100;2925;100;0;100;12;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;790;100;731;100;59;100;0;100;78;100;3727;95;-196;3436
LV;1;2014;P;0;100;256;100;0;100;0;100;198;100;0;100;58;100;0;100;74;100;17;100;0;100;29;100;28;100;257;100;257;100;0;100;0;100;23;100;587;0;137;724
LV;2;2014;P;0;100;256;100;0;100;0;100;204;100;0;100;52;100;0;100;65;100;13;100;0;100;26;100;26;100;165;100;165;100;0;100;0;100;18;100;486;0;143;629
HR;2;2014;P;0;100;264;100;0;100;153;100;32;100;0;100;79;100;0;100;73;100;73;100;0;100;0;100;0;100;851;100;851;100;0;100;0;100;38;100;1188;2;168;1354
HR;3;2014;P;0;100;297;100;0;100;189;100;43;100;0;100;65;100;0;100;65;100;65;100;0;100;0;100;0;100;756;100;756;100;0;100;0;100;40;100;1118;13;285;1390
NL;1;2014;D;382;100;6665;100;0;100;0;100;0;100;0;100;0;100;6665;100;1397;100;626;100;8;100;763;100;0;100;10;100;10;100;0;100;0;100;38;100;8454;0;1744;10198
