siec,plant_tec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
R5100,CAP_NET_ELC,MW,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,AT	816.199 	813.428 	824.253 	837.771 	916.695 	938.621 	958.884 	1017.352 	1105.461 	1627.970 	1588.634 	1553.826 	1542.490 	1548.850 	1334.785 	1118.310 	766.000 	766.000 	766.000 	766.000 	780.000 	787.000 	747.000 	609.000 	607.000 	544.000 	412.000 	412.000 	400.000 	400.000 	400.000 
R5100,CAP_NET_ELC,MW,BA	1.120 	1.220 	0.250 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
R5100,CAP_NET_ELC,MW,BE	563.500 	539.200 	526.300 	559.200 	566.300 	591.300 	557.600 	640.000 	678.000 	701.000 	640.000 	554.000 	442.000 	329.000 	307.000 	294.000 	130.000 	121.000 	57.000 	62.000 	47.000 	38.000 	18.000 	11.000 	19.000 	23.000 	11.000 	11.000 	18.000 	26.000 	26.000 
R5100,CAP_NET_ELC,MW,BG	15.064 	23.513 	33.019 	22.973 	19.000 	34.000 	30.000 	30.000 	14.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	7.000 	7.000 	7.000 	52.000 	52.000 	52.000 	52.000 	52.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,CZ	452.000 	434.000 	385.000 	402.000 	376.000 	380.000 	355.000 	306.000 	330.000 	306.000 	271.000 	254.000 	213.000 	176.000 	133.000 	102.000 	103.000 	68.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,DE	1597.000 	1598.000 	1585.000 	1601.000 	1600.000 	1592.000 	1589.000 	1623.000 	1558.000 	1554.000 	1502.000 	1470.000 	1457.000 	1431.000 	1411.000 	1218.000 	1020.000 	859.000 	285.000 	190.000 	129.000 	127.000 	103.000 	84.000 	79.000 	79.000 	79.000 	77.000 	77.000 	43.000 	22.000 
R5100,CAP_NET_ELC,MW,DK	1484.664 	1501.260 	1484.664 	1501.260 	1031.697 	973.414 	989.359 	918.719 	1155.550 	920.648 	868.237 	705.000 	553.000 	333.000 	455.000 	584.000 	474.000 	311.000 	215.000 	133.000 	86.000 	110.000 	95.000 	71.000 	65.000 	110.000 	52.000 	40.000 	40.000 	40.000 	40.000 
R5100,CAP_NET_ELC,MW,EA19	9319.817 	8629.106 	8404.196 	8149.336 	7974.147 	7838.235 	7722.371 	7872.595 	7681.471 	7939.227 	7690.089 	7196.317 	6913.763 	6631.852 	6210.780 	5659.990 	4876.942 	4678.887 	3809.134 	3468.041 	3274.461 	2769.246 	2465.777 	2237.681 	2237.396 	2201.595 	2115.000 	1890.000 	1920.000 	1788.000 	1747.000 
R5100,CAP_NET_ELC,MW,EE	200.000 	180.000 	165.000 	165.000 	165.000 	165.000 	165.000 	150.000 	163.000 	145.000 	138.000 	58.000 	10.000 	10.000 	10.000 	10.000 	10.000 	10.000 	5.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,EL	14.111 	13.113 	11.880 	2.560 	2.000 	2.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,ES	867.854 	718.441 	672.441 	672.441 	672.441 	672.441 	672.941 	652.941 	635.857 	558.167 	541.167 	502.000 	374.000 	396.000 	388.000 	354.000 	344.000 	329.000 	285.000 	167.000 	150.000 	138.000 	128.000 	127.000 	127.000 	126.000 	183.000 	115.000 	114.000 	115.000 	115.000 
R5100,CAP_NET_ELC,MW,EU27_2020	15560.778 	15749.930 	15558.116 	15037.221 	14351.844 	14213.649 	14008.730 	13118.314 	13455.021 	13211.875 	12557.326 	11809.317 	10857.763 	10070.852 	10359.780 	9240.990 	7343.942 	6798.887 	5790.134 	5587.041 	5158.461 	4426.246 	3948.777 	3947.681 	4053.396 	3820.595 	3672.000 	3459.000 	3356.000 	3028.000 	2987.000 
