country,technology,installed_gw
AL,solar,0.195
AL,wind_onshore,0.0
AL,wind_offshore,0.0
AT,solar,8.25
AT,wind_onshore,4.035
AT,wind_offshore,0.0
BA,solar,0.03
BA,wind_onshore,0.13
BA,wind_offshore,0.0
BE,solar,10.7
BE,wind_onshore,3.18
BE,wind_offshore,2.26
BG,solar,4.87
BG,wind_onshore,0.0
BG,wind_offshore,0.71
CH,solar,6.37
CH,wind_onshore,0.1
CH,wind_offshore,0.0
CY,solar,0.4
CY,wind_onshore,0.16
CY,wind_offshore,0.0
CZ,solar,4.42
CZ,wind_onshore,0.37
CZ,wind_offshore,0.0
DE,solar,86.95
DE,wind_onshore,63.4
DE,wind_offshore,9.22
DK,solar,3.7
DK,wind_onshore,4.86
DK,wind_offshore,2.65
EE,solar,1.17
EE,wind_onshore,0.68
EE,wind_offshore,0.0
ES,solar,32.043
ES,wind_onshore,32.0
ES,wind_offshore,0.0
FI,solar,0.05
FI,wind_onshore,8.22
FI,wind_offshore,0.0
FR,solar,21.24
FR,wind_onshore,24.61
FR,wind_offshore,1.487
GB,solar,18.26
GB,wind_onshore,15.7
GB,wind_offshore,14.7
GR,solar,9.0
GR,wind_onshore,5.22
GR,wind_offshore,0.0
HR,solar,0.45
HR,wind_onshore,1.24
HR,wind_offshore,0.0
HU,solar,8.05
HU,wind_onshore,0.33
HU,wind_offshore,0.0
IE,solar,0.0
IE,wind_onshore,3.0
IE,wind_offshore,0.0
IT,solar,37.1
IT,wind_onshore,13.0
IT,wind_offshore,0.03
LT,solar,1.79
LT,wind_onshore,1.68
LT,wind_offshore,0.0
LU,solar,0.54
LU,wind_onshore,0.21
LU,wind_offshore,0.0
LV,solar,0.45
LV,wind_onshore,0.14
LV,wind_offshore,0.0
MD,solar,0.0
MD,wind_onshore,0.0
MD,wind_offshore,0.0
ME,solar,0.0
ME,wind_onshore,0.12
ME,wind_offshore,0.0
MK,solar,0.07
MK,wind_onshore,0.04
MK,wind_offshore,0.0
MT,solar,0.23
MT,wind_onshore,0.0
MT,wind_offshore,0.0
NL,solar,27.26
NL,wind_onshore,6.97
NL,wind_offshore,4.47
NO,solar,0.78
NO,wind_onshore,5.06
NO,wind_offshore,0.01
PL,solar,17.71
PL,wind_onshore,10.29
PL,wind_offshore,0.0
PT,solar,2.59
PT,wind_onshore,5.37
PT,wind_offshore,0.02
RO,solar,1.59
RO,wind_onshore,3.03
RO,wind_offshore,0.0
RS,solar,0.07
RS,wind_onshore,0.74
RS,wind_offshore,0.0
SE,solar,4.96
SE,wind_onshore,17.05
SE,wind_offshore,0.19
SI,solar,1.41
SI,wind_onshore,0.0
SI,wind_offshore,0.0
SK,solar,0.53
SK,wind_onshore,0.0
SK,wind_offshore,0.0
