,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2008-01-01 00:00:00,973.7723962112025,4211.060926625493,822.1965910435583,7340.238506890684,3724.9224955419577,6668.0,4658.825105948057,44233.33721927903,1994.490331156519,509.7357555607713,22383.03979877165,6248.242795548375,42944.57246906194,23586.42197802189,2318.026446009956,1201.7476438400056,2725.641071801884,1633.3211343008559,14680.188581290795,737.9877813755121,422.28316235188186,362.60766677712047,538.1694062629626,1007.0207411484007,8805.01798058283,9451.039055887668,11248.120530957447,4078.063223530965,5747.546466827513,4657.677489345758,9518.230194539097,653.7513051734859,2421.4102119705403,880.3982244196629
2008-01-01 01:00:00,914.1156623505823,3888.305329556105,714.8165413021965,6767.987296459868,3519.869383743936,6463.0,4616.843329418503,41934.63568419674,1949.0677294365146,481.02821784726456,20234.911444791178,5943.301009751051,40230.10644355642,22945.816656960327,1741.3572170810776,1026.7183561699185,2369.450450881959,1395.5399904171777,12734.847862882,716.1707420942352,419.19359623085506,342.487359252119,510.6409935383908,942.1805045698958,8051.223153803113,9088.932195390906,10390.02145878577,3791.5596663159204,5526.546231451448,4348.514839854059,9287.553802477802,577.3359344156952,2198.1151011877164,827.7523662825104
2008-01-01 02:00:00,843.8713948678146,3332.0916474291794,603.063869437987,6177.9882795419435,3136.6127071423225,6305.0,4197.445030114585,39638.91885138347,1884.8410302346347,425.6612502050208,17574.894494133554,5298.099056918914,34998.98175735145,22048.929882330904,806.967593127245,854.2714359435638,2029.533308986848,1226.1693233816695,10676.334172577746,679.666636225376,374.1134085079442,334.0409879185589,480.11983110095395,850.8607062608178,7308.590457509506,8519.095530532297,9600.50766798478,3275.4767604862736,5337.748565849519,3995.8781499483803,8832.647708506538,483.9791319626271,2023.0846003260854,770.6289611786127
2008-01-01 03:00:00,745.6604439379709,2726.3734855137795,433.82230123723957,5541.859046016147,2672.3021416854363,6102.0,3913.258507919497,37412.39073012481,1761.2615720562874,376.37078263893295,14319.10006034528,4372.897759587053,27464.923759694782,20707.334605716183,-205.66395328628278,632.1428742152516,1652.6784366130182,1074.4916329843568,8054.024037480052,690.4387352348677,284.09777349478065,348.21689061514826,440.2943628678414,752.2905968468165,6496.887384681895,6973.37699625721,8824.638838642324,2800.7423811717463,5184.214770089702,3407.2349861258326,7616.811727177022,368.0189736771357,1770.1175701787997,679.1423644013527
2008-01-01 04:00:00,658.1418597958493,2112.0748203664666,213.93069000652156,4954.584874911843,2433.81190808625,5977.0,3212.9156043287912,34369.98687392145,1731.5885592742309,448.10244940756604,10764.899043206884,4868.771458062341,18190.453279951733,18459.735266508367,-484.8315454285739,402.8906478461686,1382.5129216171817,863.0097880674741,5733.376984316412,859.6444864023147,222.90968140157207,474.445186013966,407.37053303659616,624.3230219594719,5835.732706984489,4501.602329452391,8029.31642140341,2212.972540062595,5124.437273568077,2705.7385728910485,5876.753192967119,257.1213886802468,1463.6527193475993,572.994657020072
2008-01-01 05:00:00,639.1590081719075,1696.1327209446426,174.1972218784233,4822.531062553795,2351.924047186302,5668.0,2963.974705920369,30694.294977249105,2227.400168897893,581.9519474258657,9455.880039524538,5537.142216796112,15313.276199946049,17093.051902743468,-375.77388017660905,363.3629187807128,1312.724908434222,633.1866975131629,5681.47269948346,1078.1676765096126,150.52303118932957,594.3217653857056,401.32960035664246,585.5182510383931,5740.905533888086,4793.245406810407,7771.828385115142,1608.8578053881856,5004.793750510935,2479.093653490466,6947.681687602504,251.49032086526677,1355.7223900566146,537.9099260820153
2008-01-01 06:00:00,666.2248746393823,2046.5904983634546,191.96383321536177,4623.141003965782,2379.962935772513,5398.0,2792.127482193646,31048.95200819549,2993.9349089179486,681.9656620949313,8921.073617042815,6037.519867404777,17060.08943951073,20178.072766716665,-39.15772927373655,373.9921249728052,1314.25861262866,806.3878474798757,5656.2127980826335,1213.8395863506184,243.6291927006227,650.0700655596695,412.6254846059508,589.3199019879016,6074.965173913899,7012.8630058243,7728.505869450983,1455.1279257433475,4910.5632227634005,2547.809139928716,9227.411246611322,290.72562484060825,1338.4426391957404,546.4229589929624
2008-01-01 07:00:00,742.5916741162503,2394.740726716697,297.7171479239539,4761.7250461254125,2559.4130076896586,5223.0,3271.263100328357,31720.619162814128,3295.7178310951585,705.384386305221,8857.684765561673,6099.896113705868,18265.062129211896,24121.134046119885,615.3219253433881,533.8258836530686,1582.284048048357,1355.7838377435405,8128.82129364787,1247.53254022665,278.6878668098141,692.2395168452476,447.0764465839657,643.4596943025236,6510.025276305167,8079.63438206313,7815.078260901695,1311.313510537011,4948.179220133956,2898.4578729550717,9888.103190705744,361.2264387250624,1461.6853165027842,603.9219372916496
2008-01-01 08:00:00,824.6766093340066,2924.01647497058,447.8170194739289,5012.549528629357,2843.4063223684716,5491.0,3859.697351741034,34229.09309645403,3325.817006200565,730.6411537858665,9519.423046007763,6284.544566289544,21547.790502370022,27733.95985349489,1406.4459015317866,754.9075547270841,1887.749609426262,1631.35657065207,10740.873824217559,1263.5122750549297,325.50789714619054,682.1215945982595,484.87330777464297,736.3503643506114,6983.091090831835,8368.024902858464,8398.068297423133,1486.2346871177124,4943.3157123877845,3279.9980028100763,10154.220545428518,465.23530240263744,1671.0453230492662,667.1910159796234
2008-01-01 09:00:00,884.8706559792054,3384.507504926089,582.2568863063506,5478.246737795656,3061.5989402182813,5621.0,4131.439957474431,37447.673008109494,3431.557574152491,736.6385769333688,11376.57188202622,6411.9246448625345,25179.12747269462,30211.44840764487,2120.649354890928,952.7191952857347,2112.651863454554,1778.7333589826171,13165.49078426496,1254.2511340644915,321.8919409987799,668.7405117809537,511.62278516999106,840.9050558021413,7824.279510340199,8684.545433260566,9092.78737430465,1982.31061718289,4972.590269156584,3573.8294957639732,10668.324796815528,559.4673537621062,1887.6627374966388,714.9596533404792
