,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050
,,min,max,min,max,min,max,min,max,min,max,min,max
country,carrier,,,,,,,,,,,,
AL,onwind,,,,,,,540,660,540,660,540,660
AT,onwind,3632,4438,5191,20336,5970.5,28284.5,6750,36233,6750,40746,6750,45259
BA,onwind,117,143,741,906,1053,1287,1365,1668,1590,1943,1815,2218
BE,onwind,2862,3498,4356,6946,5103,8670.5,5850,10395,6518.5,10697.5,7187,11000
BG,onwind,,,,,540,1992,1080,3984,1687.5,6942,2295,9900
CH,onwind,90,110,126,688,144,976.5,162,1265,755,1855,1348,2445
CY,onwind,144,176,143,253,142.5,291.5,142,330,137.5,385,133,440
CZ,onwind,333,407,680,2080,853.5,2916,1027,3752,1933.5,4343.5,2840,4935
DE,onwind,66060,70000,100024,127545,129512,156447.5,159000,185350,160000,198000,161000,210650
DK,onwind,4374,5346,3987,9548,3793.5,11649,3600,13750,3600,13750,3600,13750
EE,onwind,612,748,619,1749,622.5,2249.5,626,2750,700.5,3410,775,4070
ES,onwind,30900,35200,43830,68695,54415,85442.5,65000,102190,70000,108525,75000,114860
FI,onwind,7398,9042,9549,40821,10624.5,56710.5,11700,72600,11700,94600,11700,116600
FR,onwind,24600,27071,24800,47086,27650,57093,30500,67100,35250,77550,40000,88000
GR,onwind,4698,5742,2709,4246,1714.5,3498,720,2750,810,2750,900,2750
HR,onwind,1116,1364,1458,2057,1629,2403.5,1800,2750,1800,3025,1800,3300
HU,onwind,297,363,148,1282,74,1741,,2200,,2750,,3300
IE,onwind,2700,3300,4500,6990,5400,8834.5,6300,10679,6300,11559,6300,12439
IT,onwind,11700,14300,12594,16427,13041.5,17490.5,13489,18554,15317,24380.5,17145,30207
LT,onwind,1512,1848,3200,3910,4043.5,4941.5,4887,5973,4986,6094,5085,6215
LU,onwind,189,231,94,390,47,470,,550,,605,,660
LV,onwind,126,154,222,380,269.5,492.5,317,605,317,660,317,715
ME,onwind,108,132,54,206,27,243,,280,,280,,280
MK,onwind,36,44,216,847,306,1248.5,396,1650,396,1650,396,1650
NL,onwind,6273,7667,7052,12138,7441,14374,7830,16610,8415,19305,9000,22000
PL,onwind,9261,11319,9493,27660,9609,35830,9725,44000,9725,56100,9725,68200
PT,onwind,4833,5907,7125,10104,8271,12202,9417,14300,9417,14300,9417,14300
RO,onwind,2727,3333,4064,6342,4732,7846,5400,9350,5400,9625,5400,9900
RS,onwind,666,814,2260,3054,3057,4173.5,3854,5293,3854,5293,3854,5293
SE,onwind,15345,18755,15090,28922,14963,34006,14836,39090,14836,46985,14836,54880
SI,onwind,,,,,54,186.5,108,373,83,416.5,58,460
SK,onwind,,,,,385,745.5,770,1491,835,1845.5,900,2200
GB,onwind,14130,17270,17087,31757,18565.5,39000.5,20044,46244,20044,50679.5,20044,55115
NO,onwind,4554,5566,4204,5138,4029,4924.5,3854,4711,3854,4711,3854,4711
AT,solar,7425,9075,9112,33138,9956,45169,10800,57200,10800,84700,10800,112200
BA,solar,27,33,603,737,891,1089,1179,1441,1404,1716,1629,1991
BE,solar,9630,11770,13815,25135,15907.5,31817.5,18000,38500,22050,49500,26100,60500
BG,solar,4383,5357,3542,7087,3121,7952,2700,8817,3150,9419,3600,10021
CH,solar,5733,7007,7412,20053,8706,25026.5,10000,30000,11500,37500,13000,45000
CY,solar,360,440,873,1430,1129.5,1925,1386,2420,1237.5,2420,1089,2420
CZ,solar,3978,4862,7197,12416,8806.5,16193.5,10416,19971,10842.5,21071,11269,22171
DE,solar,100000,115000,203772,267822,281886,333911,360000,400000,380000,455000,400000,510000
DK,solar,3330,4070,3623,28330,3769.5,40460.5,3916,52591,3916,52591,3916,52591
EE,solar,1053,1287,1066,2458,1073,3044,1080,3630,1197,4015,1314,4400
ES,solar,28839,35247,46904,106640,59452,133820,72000,161000,86500,170000,101000,179000
FI,solar,45,55,3172,24778,4736,37139,6300,49500,7200,68750,8100,88000
FR,solar,20000,23364,30708,90332,38854,116666,47000,143000,63500,196500,80000,250000
GR,solar,8100,9900,9450,19800,10125,24750,10800,29700,12150,39050,13500,48400
HR,solar,405,495,852,1348,1076,1774,1300,2200,1442.5,2853.5,1585,3507
HU,solar,7245,8855,9906,14742,11237,17685.5,12568,20629,14006.5,23182.5,15445,25736
IE,solar,,,,,3594,7239,7188,14478,7188,18953,7188,23428
IT,solar,33390,40810,47742,93796,54917.5,120289.5,62093,146783,73860,205349.5,85627,263916
